stock,currentValue,VaR95,ES95,VaR99,ES99,Standard_Dev,min,max,mean
AAPL,173.07000732421875,4.75429286495492,7.374488220863055,8.377589368708954,13.76198305455317,3.3583930869417347,-37.11736421997932,44.972970025433426,-0.09256215099339983
MSFT,310.20001220703125,7.9126290789016025,10.775004784835563,12.024155404607768,16.109954948903177,5.014034827728747,-40.35578401412408,30.658776891450714,0.062346742541275924
AMZN,3242.760009765625,85.38886188719971,111.44739098824998,124.128708569418,154.9129264190401,54.30807854677615,-265.224038686119,241.0730639105409,0.2266126030290059
TSLA,1049.6099853515625,79.4492944793999,105.19379044373532,120.62997881655349,148.91569195943768,48.683445897427085,-211.85866811089,317.0656137396934,-0.17471326059031358
GOOGL,2789.610107421875,66.30180225782988,98.83979048705369,111.53555679272722,163.46479124991598,45.22899866739779,-278.09649347284403,383.1979888535816,0.12290324790487785
GOOG,2795.72998046875,63.63725892668526,102.23611179237442,109.63421347867961,191.50179940358043,47.34248737594702,-634.0616170719841,481.145608200718,0.5761294264127567
FB,331.8999938964844,10.79330451504643,14.027023980294357,16.256467926090522,19.486822430177885,6.753726712892205,-28.994057024165954,25.97068023412953,0.3400674050401161
NVDA,269.4200134277344,16.61551380876594,22.09875376878767,25.472627417583197,32.09715639559334,10.41711793622729,-67.37434367567826,76.71878840360495,-0.34348192484042495
BRK-B,324.1300048828125,5.223244263774745,7.091744924751034,8.17639907458306,10.32817493131402,3.109668596039691,-16.597468481348415,19.042076564983176,-0.2740979276276091
JPM,157.88999938964844,3.6016295702086722,5.751270805143084,7.04136281771855,9.763808648143074,2.3559335598415245,-18.91798764840172,23.566125692037275,-0.09316610510789253
JNJ,167.83999633789062,2.5110440578449413,3.4135679523661286,3.9522354841325864,4.887659719293952,1.5572884078392712,-7.141669419901405,6.954324730662876,-0.021962620314709188
UNH,468.69000244140625,9.393611467449716,13.205859553896303,15.14631008047246,19.878497268251945,6.165587805745223,-77.81841352050031,28.236312225464474,0.3323603175327512
HD,372.0,8.506133316941487,13.187434400424692,15.715162516969826,22.347748962389215,5.858110950749044,-60.715117701230895,56.08988329200696,0.18455078528244456
PG,158.95175170898438,2.1400140076365233,2.961471951520515,3.3544828688860093,4.27828520250091,1.3959198891334357,-6.7747232099530095,8.080007844346255,0.04775426819628001
V,214.6699981689453,6.068877857226994,9.571532731287482,11.25771055297696,16.48177838193309,4.598324631547614,-52.37226661169714,50.16690135766402,0.4325347578215059
BAC,47.90999984741211,1.3071084328942675,1.653064471978329,1.9200788766279615,2.1700123542808734,0.7582270094704379,-2.888124789482653,2.9693145226405164,-0.027770750714327677
MA,372.1400146484375,13.363312108805417,17.684505239220766,20.343301332129442,24.140490165166298,8.528944565356953,-36.154441652698154,75.45285280452822,0.16985886653967877
PFE,54.95000076293945,2.3168881165276645,3.8068382429317364,4.22374336817613,7.355800107192561,1.6954165309904776,-22.19979841098062,20.05249654096069,-0.11351465529007916
XOM,71.87000274658203,2.0127777318140687,2.5997870189085805,2.9094769462340224,3.550811993751951,1.2351900488610577,-5.375199633144476,6.117698541171535,-0.0014942892046746123
DIS,151.94000244140625,3.3821437261815106,5.352654602174397,6.090790709437556,9.125750424243261,2.436043286860277,-34.90570875484683,26.535187743139602,0.02985308720458716
CSCO,61.36000061035156,1.2535946489618013,1.7769402219897694,2.0565056450826518,2.769914039490213,0.8535460459224099,-14.176037209516736,6.052388497509384,0.04552223967600932
AVGO,596.3699951171875,20.244805712707944,29.206909315998978,31.65937690599344,49.40840327977257,12.694885530316363,-193.97515703350473,105.10395054154196,-0.7133309118120583
ADBE,520.5999755859375,17.662585042438593,28.613209655128827,30.391096168784998,53.133222470912244,14.96277777663542,-312.8660273341234,150.0793239139134,2.150431249604891
CVX,128.9600067138672,2.5551630958270835,3.2094350753773386,3.587047337197589,4.261324789131074,1.5725338618268792,-6.194491827644526,6.3972709999057145,0.00671404727385831
PEP,175.63999938964844,2.3679489559624187,3.4951759292078943,4.056041162767343,5.5552404656734256,1.577878651869359,-12.15693716773825,11.309451248668239,0.12300933433446562
TMO,594.7999877929688,13.354109427092226,20.42507449898094,22.984523812316752,33.88983286045026,9.452693871589137,-83.21774841733799,98.03838505877752,1.0440869933858294
KO,61.38999938964844,1.0347831493432054,1.6637560364567776,1.949305176699525,2.9744992580958485,0.697443019106113,-7.582869666863353,11.854612151620785,-0.03545604408923787
ABBV,135.8699951171875,2.504501107843936,3.3705474057735243,3.840962852295206,4.743823047463095,1.5069729418389657,-6.934855259272894,8.851717794083328,-0.1080291471950969
CMCSA,51.68000030517578,1.128245720540754,1.6116768737186398,1.852191372890566,2.4598594686311555,0.7296136737897118,-5.646346763846665,5.207997753797933,0.03242050413441281
NFLX,525.6900024414062,16.038363454952957,21.415492896961997,24.28257897948106,30.92800783874558,9.943398522047298,-74.61489744220995,45.493084244418014,-0.25077289161452415
ABT,128.16000366210938,2.5601494379953635,3.328932642030158,3.7563986333037747,4.46261962138817,1.5885871824503621,-6.224671948944803,7.002417436685107,0.026366075869317284
ACN,353.3599853515625,9.039841634967615,15.337890421919584,16.730359743923884,30.052207758348327,7.01710285967103,-119.18308649248146,105.42996586488516,0.020187267452693454
COST,502.989990234375,12.548864647568564,17.92584762710612,20.339719064525923,27.87397174651273,8.197161621954201,-49.53059504474612,39.47511935254772,0.3130795663757014
CRM,231.22999572753906,6.855522064757849,10.305468745778226,12.054463895479671,17.106777920806383,5.092527555262338,-64.12015011432732,48.714636012884,0.8054390321847784
